|40216|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["1704862", "", "", ""], ["20065067", "", "", ""], ["19667761", "", "", ""], ["18560179", "", "", ""], ["17114940", "", "", ""], ["11255511", "", "", ""], ["10984439", "", "", ""], ["11910129", "", "", ""], ["19280368", "", "", ""], ["2500443", "", "", ""], ["9364937", "", "", ""], ["17020918", "", "", ""], ["8306827", "", "", ""], ["3097014", "", "", ""]]|
|40217|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["17322195", "", "", ""]]|
|40214|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["20673990", "", "", ""], ["22406755", "", "", ""]]|
|40215|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["17643101", "", "", ""], ["16460506", "", "", ""], ["9880366", "", "", ""], ["11123795", "", "", ""]]|
|40213|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["7520368", "", "", ""], ["12808043", "", "", ""], ["11423126", "", "", ""], ["10021358", "", "", ""], ["9778252", "", "", ""]]|
|40218|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["20577206", "", "", ""], ["6308466", "", "", ""]]|
|40219|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["20048075", "", "", ""]]|
|40132|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["7867928", "", "", ""]]|
|40130|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["19182780", "", "", ""]]|
|40137|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["15208441", "", "", ""]]|
|40136|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["12088150", "", "", ""], ["15208441", "", "", ""]]|
|40138|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["11481034", "", "", ""], ["12045206", "", "", ""], ["17507654", "", "", ""], ["19194500", "", "", ""], ["20418860", "", "", ""], ["11337479", "", "", ""], ["20137068", "", "", ""], ["21172659", "", "", ""], ["20436462", "", "", ""], ["21874018", "", "", ""]]|
|40093|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["17270048", "", "", ""], ["16878148", "", "", ""], ["19041754", "", "", ""], ["19625619", "", "", ""], ["20137068", "", "", ""], ["12970751", "", "", ""], ["16441420", "", "", ""], ["19690017", "", "", ""], ["20149803", "", "", ""], ["19379481", "", "", ""], ["19217333", "", "", ""], ["20797886", "", "", ""], ["19116412", "", "", ""], ["21128942", "", "", ""], ["19561200", "", "", ""], ["20729808", "", "", ""], ["22406755", "", "", ""], ["22369889", "", "", ""], ["20937273", "", "", ""], ["22196729", "", "", ""]]|
|40092|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["20421347", "", "", ""], ["20124551", "", "", ""], ["18836484", "", "", ""], ["18354083", "", "", ""], ["9819378", "", "", ""], ["1630459", "", "", ""], ["3409319", "", "", ""], ["17468437", "", "", ""], ["19232134", "", "", ""], ["22369889", "", "", ""], ["22406755", "", "", ""], ["19561200", "", "", ""]]|
|40095|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["16915236", "", "", ""], ["18511501", "", "", ""], ["20179156", "", "", ""]]|
|40094|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["19041754", "", "", ""]]|
|40281|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["23435381", "", "", ""]]|
|40096|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["17786216", "", "", ""], ["19762426", "", "", ""], ["18719115", "", "", ""], ["18587395", "", "", ""], ["17948025", "", "", ""], ["1709450", "", "", ""], ["6206499", "", "", ""], ["20486133", "", "", ""], ["1811930", "", "", ""], ["1688465", "", "", ""], ["17237358", "", "", ""], ["9203585", "", "", ""], ["7692308", "", "", ""], ["16707459", "", "", ""], ["9811352", "", "", ""], ["9294195", "", "", ""], ["10875929", "", "", ""], ["15121863", "", "", ""], ["15753088", "", "", ""], ["20668672", "", "", ""], ["3396539", "", "", ""], ["1303252", "", "", ""], ["19926638", "", "", ""], ["20529846", "", "", ""], ["21172659", "", "", ""]]|
|40263|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["21874018", "", "", ""], ["20436462", "", "", ""]]|
|40262|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["21964070", "", "", ""], ["23446346", "", "", ""], ["23446348", "", "", ""]]|
|40261|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["21874018", "", "", ""], ["20436462", "", "", ""]]|
|40260|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["21874018", "", "", ""], ["20436462", "", "", ""]]|
|40267|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["21642992", "", "", ""]]|
|40266|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["21925392", "", "", ""]]|
|40264|;|Literature|;|1|;|0|;|0|;|[["Pub Med ID", "Author", "Title", "Year"], ["22245136", "", "", ""], ["21890647", "", "", ""]]|
